play_id,video_url,title,player_id,transcription
1796be50-cd1d-4ef7-9981-8ac83b1e2601,https://sporty-clips.mlb.com/QVlWa0tfWGw0TUFRPT1fQndaWVVnWlJVd0lBV3dZREFnQUFWRkJSQUZnTVcxQUFDZ1JXQ0FCWEFGWlhCZ0pY.mp4,Connor Norby homers (1) on a fly ball to left field.   Colton Cowser scores.,681393,and his first major league hit is going to be a home run Connor Norby hits it out pretty good moment for that young man and his second game is first hit is a two-run homer and the Orioles now lead 10 to 1 normally had nine home runs in Triple-A before he was promoted because the injury to Julio Mateo
ff4dea42-2b51-45e3-a992-87e2f6b57ee8,https://sporty-clips.mlb.com/T1FkdkdfWGw0TUFRPT1fVUZkVkFBRlZVZ0FBQ2dBSFZ3QUFCRk5WQUFBTVdsTUFDbEpRQWxVRFV3WlNWVmRl.mp4,Dairon Blanco homers (1) on a fly ball to left center field.   Hunter Renfroe scores.,680118,pro career let's rent for at first right now and Blanco hits one deep toward left Taylor Ward backs up he's near the wall and that ball is gone Tyrone Blanco shows off the power it's his first home run of the Season only the fourth of his career and the Royals have taken a two-nothing lead there's a slider too got a lot of the plate
eb4a6266-e0d6-4838-8506-e3604b451ea9,https://sporty-clips.mlb.com/NjQxNG9fWGw0TUFRPT1fVTFOVkJWSUdVQVFBWFZKV1VBQUFDUVZlQUZrQVUxY0FWMVlEQUFkWEJRWlVWVk5m.mp4,Giancarlo Stanton homers (7) on a line drive to left center field.,519317,Kenny Hopkins a good player I mean he talked about a prototypical wow that's a line drive Michael come on see you wow hey Michael by the way that was his seventh of the year it was a line
73d7f866-1d66-4cf7-b82a-02f72888772e,https://sporty-clips.mlb.com/QVlNajNfWGw0TUFRPT1fQVFJRlV3SU1VQVFBQ1FZRVVBQUFVbEJSQUFNTlVRQUFBbGRUQndFTkNRdFNCd0FE.mp4,Jackson Chourio hits an inside-the-park home run (8) on a line drive to center field.,,Cheerio soft into Center base and it gets by Cheerio on the Move he's on his way to third he's good
c4077761-065b-4c12-ac5d-f45950b52fdb,https://sporty-clips.mlb.com/R1pWbEJfWGw0TUFRPT1fVlFWUlUxTURVQU1BQ0ZRSEJBQUFVZ2RVQUFCV1ZnVUFWRkVBQ1FZRlV3WlhWbFlF.mp4,Miguel Andujar homers (4) on a line drive to left field.,609280,one Impala oh nice I've been working on and just American Muscle that was loud that was loud Katie we're talking 106 miles an hour off the barrel of Miggy that is loud noise I love it love it you can tell right off the bat
bcbd590b-b944-450c-a71b-54175168be28,https://sporty-clips.mlb.com/TVo4UjVfV0ZRVkV3dEdEUT09X1ZGSURBRkVOVmxBQVdsc0dVZ0FBQkFZRkFBQUNVZ01BQjFFRUJ3WUVCd3NIVlFCZQ==.mp4,Vladimir Guerrero Jr.  homers (15) on a line drive to left field.   Spencer Horwitz scores.,665489,Ace what is he gonna use pay off Pitch trimming the left way back there and God Gladys Junior brings him to their feet and Toronto two-run Homer in the blue jay
54c31a68-3993-4108-bc74-8936ffd7c28f,https://sporty-clips.mlb.com/UVd4WmRfWGw0TUFRPT1fQXdVQ1YxVlZVQW9BQzFzTFZRQUFBQVplQUFOV1ZGVUFDbHdHQmxWVFZRUUdBZ29B.mp4,Vladimir Guerrero Jr.  homers (21) on a line drive to center field.,665489,coming up in the bottom of the eighth for the O's and Guerrero with another seed to Center cows are racing back it's gone are you kidding me with this guy and it's only the first day I'm already tired of looking at Vladimir Guerrero Jr and this was almost a line drive I mean this ball felt like it never got 20 feet off the ground one 12 off the bat hit one earlier one fifteen off the bat his 21st long ball of the year
0e70df8b-28d0-4476-b446-692478482790,https://sporty-clips.mlb.com/NjQxazJfWGw0TUFRPT1fQmxSV1ZBQlNYbEFBQ2xwV1ZnQUFCUUZRQUFNQlYxY0FCRndIQkFRTkJRdFhCd3RX.mp4,Manny Machado homers (5) on a line drive to left field.   Fernando Tatis Jr.  scores.,592518,on Machado 3 and 1 and the lines it to left Lourdes is walks this one goal a line drive rope off the bat of Manny Machado and the Padres have open things up that was a missile it was nearly 1 1 2. 0 0
f1fafa5a-1bc6-4d2f-b212-31d6398c1bb7,https://sporty-clips.mlb.com/WGc2OGpfWGw0TUFRPT1fVUFBSEJRSlZVMU1BQ1FCUlVBQUFWUVFBQUFNSFVsTUFBVlJSQmdBTUNWQlVVbEJS.mp4,Matt Chapman homers (22) on a line drive to center field.,656305,the hotel oh he was Hank with them good luck in no Hank with them and that's swing of the bat and for Chapman
9731ba84-70e5-42b6-83db-033c76b34fc4,https://sporty-clips.mlb.com/RFhQcnhfV0ZRVkV3dEdEUT09X0R3WlNWUVpWWGdZQUQxSlhVd0FBQTFSUUFGa0dCd01BQWxZR1V3UURVd0JSVmxGUw==.mp4,LaMonte Wade Jr.  homers (4) on a line drive to right center field.,664774,Lamonte Wade his grounded out twice first pitch ripped to right Stuart Fairchild now resides it right and that's gone a liner that just clears the yellow line Sinker the did not sink all that much it weighed punishes forth Homer and a Giants 3-2 lead well that was one heck of a swing right there Lamonte Wade's been looking for a power he's
